Identifiant de l'opération;Titre de l'opération;Titre du projet lauréat;Edition;Thématique;Direction pilote de l'opération;Type de financement de l'opération;Adresse de l'opération;Arrondissement de l'opération;Longitude;Latitude;Opération en Quartier Populaire;Quartier de l'opération;Avancement de l'opération;Date de début des études de l'opération;Date de lancement des procédures de l'opération;Date de lancement des travaux de l'opération;Date prévisonnelle de livraison de l'opération;Date d'ouverture de l'opération au public;Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet;geo_shape;geo_point_2d
4599;Rénovation du TEP Thiéré;Rénovons les terrains de sport du 11e;2018;Sport;Direction de la Jeunesse et des Sports;;passage Thiéré;75011;2.3739;48.854;non;25;FIN;2019-09;2019-10;2021-06;2022-08;2022-08;6358;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002051;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6358&portlet_id=158;Direction de la Jeunesse et des Sports;1630000;Budget participatif d’arrondissement;12 Place Léon Blum;75011;Non;LIVRAISON;2019-07;2019-10;2019-09;2020-07;;;"{""coordinates"": [2.373900000114538, 48.85399999994917], ""type"": ""Point""}";48.85399999994917, 2.373900000114538
4631;Multi équipements Lancry;Du vert à tous les étages;2015;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;15, Rue de Lancry;75010;2.36034;48.86956;non;38;FIN;2018-11;;2019-07;2019-10;2019-05;2015;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2015&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-05;2016-07;2016-08;2020-10;;"{""coordinates"": [2.3603399994003764, 48.86956000000735], ""type"": ""Point""}";48.86956000000735, 2.3603399994003764
4645;Cultiver dans les écoles / Ecole 2/3;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;4, Place du Louvre;75001;2.341;48.8601;non;199;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.3409999998503355, 48.86010000015682], ""type"": ""Point""}";48.86010000015682, 2.3409999998503355
4669;Cultiver dans les écoles / Ecole 1/4;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;78 Rue Bonaparte;75006;2.3326;48.8505;non;111;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.3325999995859052, 48.85049999990363], ""type"": ""Point""}";48.85049999990363, 2.3325999995859052
4697;Cultiver dans les écoles / Ecole 7/12;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;12 Place Léon Blum;75011;2.3795;48.8585;non;69;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.3795000005601383, 48.858500000025444], ""type"": ""Point""}";48.858500000025444, 2.3795000005601383
4701;Cultiver dans les écoles / Ecole 11/12;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;12 Place Léon Blum;75011;2.3795;48.8585;non;69;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.3795000005601383, 48.858500000025444], ""type"": ""Point""}";48.858500000025444, 2.3795000005601383
4729;Cultiver dans les écoles / Ecole 9/17;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place d'Italie;75013;2.3553;48.8323;non;122;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.3552999998625657, 48.83230000024383], ""type"": ""Point""}";48.83230000024383, 2.3552999998625657
4730;Cultiver dans les écoles / Ecole 10/17;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place d'Italie;75013;2.3553;48.8323;non;122;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.3552999998625657, 48.83230000024383], ""type"": ""Point""}";48.83230000024383, 2.3552999998625657
4736;Cultiver dans les écoles / Ecole 16/17;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place d'Italie;75013;2.3553;48.8323;non;122;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.3552999998625657, 48.83230000024383], ""type"": ""Point""}";48.83230000024383, 2.3552999998625657
4749;Cultiver dans les écoles / Ecole 12/12;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;2 Place Ferdinand Brunot;75014;2.3268;48.833;non;81;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.326799999394492, 48.8330000000357], ""type"": ""Point""}";48.8330000000357, 2.326799999394492
4779;Cultiver dans les écoles / Ecole 7/11;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;71 Avenue Henri Martin;75116;2.2766;48.8639;non;82;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.276599999397232, 48.86389999985278], ""type"": ""Point""}";48.86389999985278, 2.276599999397232
4804;Cultiver dans les écoles / Ecole 1/30;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place Jules Joffrin;75018;2.3447;48.8923;non;41;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.344700000350799, 48.89229999996076], ""type"": ""Point""}";48.89229999996076, 2.344700000350799
4808;Cultiver dans les écoles / Ecole 5/30;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place Jules Joffrin;75018;2.3447;48.8923;non;41;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.344700000350799, 48.89229999996076], ""type"": ""Point""}";48.89229999996076, 2.344700000350799
4815;Cultiver dans les écoles / Ecole 12/30;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place Jules Joffrin;75018;2.3447;48.8923;non;41;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.344700000350799, 48.89229999996076], ""type"": ""Point""}";48.89229999996076, 2.344700000350799
4816;Cultiver dans les écoles / Ecole 13/30;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place Jules Joffrin;75018;2.3447;48.8923;non;41;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.344700000350799, 48.89229999996076], ""type"": ""Point""}";48.89229999996076, 2.344700000350799
4821;Cultiver dans les écoles / Ecole 18/30;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place Jules Joffrin;75018;2.3447;48.8923;non;41;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.344700000350799, 48.89229999996076], ""type"": ""Point""}";48.89229999996076, 2.344700000350799
4830;Cultiver dans les écoles / Ecole 27/30;Cultiver dans les écoles;2014;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place Jules Joffrin;75018;2.3447;48.8923;non;41;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;2207;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2207&portlet_id=158;Direction des Affaires Scolaires;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-05;2015-07;2015-09;;"{""coordinates"": [2.344700000350799, 48.89229999996076], ""type"": ""Point""}";48.89229999996076, 2.344700000350799
4889;Embellir les cours des écoles du 18e arrondissement / Ecole 8;Embellir les cours des écoles du 18e arrondissement;2015;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place Jules Joffrin;75018;2.3447;48.8923;oui;41;FIN;2016-01;2016-05;2016-07;2018-01;2018-06;1879;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1879&portlet_id=158;Direction des Affaires Scolaires;800000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Oui;FIN;2016-01;2016-05;2016-07;2018-01;2018-06;;"{""coordinates"": [2.344700000350799, 48.89229999996076], ""type"": ""Point""}";48.89229999996076, 2.344700000350799
4910;Embellir les cours des écoles du 18e arrondissement / Ecole 29;Embellir les cours des écoles du 18e arrondissement;2015;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place Jules Joffrin;75018;2.3447;48.8923;oui;41;FIN;2016-01;2016-05;2016-07;2018-01;2018-06;1879;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1879&portlet_id=158;Direction des Affaires Scolaires;800000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Oui;FIN;2016-01;2016-05;2016-07;2018-01;2018-06;;"{""coordinates"": [2.344700000350799, 48.89229999996076], ""type"": ""Point""}";48.89229999996076, 2.344700000350799
4927;Embellir les cours des écoles du 18e arrondissement / Ecole 46;Embellir les cours des écoles du 18e arrondissement;2015;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 Place Jules Joffrin;75018;2.3447;48.8923;oui;41;FIN;2016-01;2016-05;2016-07;2018-01;2018-06;1879;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1879&portlet_id=158;Direction des Affaires Scolaires;800000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Oui;FIN;2016-01;2016-05;2016-07;2018-01;2018-06;;"{""coordinates"": [2.344700000350799, 48.89229999996076], ""type"": ""Point""}";48.89229999996076, 2.344700000350799
4949;matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 15;Du matériel de nettoiement silencieux et non polluant;2015;Propreté;Direction de la Propreté et de l’Eau;Régie;4 place de l' Hotel de Ville - Esplanade de la Libération;75004;2.3511;48.8568;non;117;FIN;2017-04;;;;2017-12;1973;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1973&portlet_id=158;Direction de la Propreté et de l’Eau;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-03;2016-04;2016-12;2017-12;;"{""coordinates"": [2.3511000004327993, 48.85680000019793], ""type"": ""Point""}";48.85680000019793, 2.3511000004327993
4980;matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 46;Du matériel de nettoiement silencieux et non polluant;2015;Propreté;Direction de la Propreté et de l’Eau;Régie;4 place de l' Hotel de Ville - Esplanade de la Libération;75004;2.3511;48.8568;non;117;FIN;2017-04;;;;2017-12;1973;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1973&portlet_id=158;Direction de la Propreté et de l’Eau;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-03;2016-04;2016-12;2017-12;;"{""coordinates"": [2.3511000004327993, 48.85680000019793], ""type"": ""Point""}";48.85680000019793, 2.3511000004327993
4981;matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 47;Du matériel de nettoiement silencieux et non polluant;2015;Propreté;Direction de la Propreté et de l’Eau;Régie;4 place de l' Hotel de Ville - Esplanade de la Libération;75004;2.3511;48.8568;non;117;FIN;2017-04;;;;2017-12;1973;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1973&portlet_id=158;Direction de la Propreté et de l’Eau;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-03;2016-04;2016-12;2017-12;;"{""coordinates"": [2.3511000004327993, 48.85680000019793], ""type"": ""Point""}";48.85680000019793, 2.3511000004327993
5013;matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 79;Du matériel de nettoiement silencieux et non polluant;2015;Propreté;Direction de la Propreté et de l’Eau;Régie;4 place de l' Hotel de Ville - Esplanade de la Libération;75004;2.3511;48.8568;non;117;FIN;2017-04;;;;2017-12;1973;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1973&portlet_id=158;Direction de la Propreté et de l’Eau;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-03;2016-04;2016-12;2017-12;;"{""coordinates"": [2.3511000004327993, 48.85680000019793], ""type"": ""Point""}";48.85680000019793, 2.3511000004327993
5018;matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 84;Du matériel de nettoiement silencieux et non polluant;2015;Propreté;Direction de la Propreté et de l’Eau;Régie;4 place de l' Hotel de Ville - Esplanade de la Libération;75004;2.3511;48.8568;non;117;FIN;2017-04;;;;2017-12;1973;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1973&portlet_id=158;Direction de la Propreté et de l’Eau;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-03;2016-04;2016-12;2017-12;;"{""coordinates"": [2.3511000004327993, 48.85680000019793], ""type"": ""Point""}";48.85680000019793, 2.3511000004327993
5072;Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 17;Du matériel de nettoiement silencieux et non polluant;2015;Propreté;Direction de la Propreté et de l’Eau;Régie;4 place de l' Hotel de Ville - Esplanade de la Libération;75004;2.3511;48.8568;non;117;FIN;2017-04;;;;2017-12;1973;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1973&portlet_id=158;Direction de la Propreté et de l’Eau;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-03;2016-04;2016-12;2017-12;;"{""coordinates"": [2.3511000004327993, 48.85680000019793], ""type"": ""Point""}";48.85680000019793, 2.3511000004327993
5080;Du matériel de nettoiement silencieux et non polluant Tricycles électriques 026 3;Du matériel de nettoiement silencieux et non polluant;2015;Propreté;Direction de la Propreté et de l’Eau;Régie;4 place de l' Hotel de Ville - Esplanade de la Libération;75004;2.3511;48.8568;non;117;FIN;2017-04;;;2017-12;2017-12;1973;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1973&portlet_id=158;Direction de la Propreté et de l’Eau;1000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-03;2016-04;2016-12;2017-12;;"{""coordinates"": [2.3511000004327993, 48.85680000019793], ""type"": ""Point""}";48.85680000019793, 2.3511000004327993
5109;FOYATIER (1) ELEM;Pour que toutes les écoles du 18e aient des outils numériques innovants;2016;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 RUE FOYATIER;75018;2.3418768;48.884946;non;77;FIN;2017-01;2017-04;2017-06;2017-12;2017-12;2630;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003504;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2630&portlet_id=158;Direction des Affaires Scolaires;750000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Non;FIN;2017-01;2017-04;2017-06;2017-12;2017-12;;"{""coordinates"": [2.3418767995470744, 48.88494600030163], ""type"": ""Point""}";48.88494600030163, 2.3418767995470744
5116;GUSTAVE ROUANET (1) MAT;Pour que toutes les écoles du 18e aient des outils numériques innovants;2016;Education et jeunesse;Direction des Affaires Scolaires;Régie;1 RUE GUSTAVE ROUANET;75018;2.3415;48.8963;non;41;FIN;2017-01;2017-04;2017-06;2017-12;2017-12;2630;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003504;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2630&portlet_id=158;Direction des Affaires Scolaires;750000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Non;FIN;2017-01;2017-04;2017-06;2017-12;2017-12;;"{""coordinates"": [2.3415000003104063, 48.89629999969299], ""type"": ""Point""}";48.89629999969299, 2.3415000003104063
5128;MAURICE GENEVOIX (3) POLY;Pour que toutes les écoles du 18e aient des outils numériques innovants;2016;Education et jeunesse;Direction des Affaires Scolaires;Régie;3 RUE MAURICE GENEVOIX;75018;2.3604;48.8945;oui;65;FIN;2017-01;2017-04;2017-06;2017-12;2017-12;2630;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003504;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2630&portlet_id=158;Direction des Affaires Scolaires;750000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Non;FIN;2017-01;2017-04;2017-06;2017-12;2017-12;;"{""coordinates"": [2.360400000127693, 48.8944999997555], ""type"": ""Point""}";48.8944999997555, 2.360400000127693
5140;RUISSEAU (6) MAT;Pour que toutes les écoles du 18e aient des outils numériques innovants;2016;Education et jeunesse;Direction des Affaires Scolaires;Régie;6 RUE DU RUISSEAU;75018;2.3399;48.8917;non;41;FIN;2017-01;2017-04;2017-06;2017-12;2017-12;2630;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003504;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2630&portlet_id=158;Direction des Affaires Scolaires;750000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Non;FIN;2017-01;2017-04;2017-06;2017-12;2017-12;;"{""coordinates"": [2.339900000156751, 48.891700000329244], ""type"": ""Point""}";48.891700000329244, 2.339900000156751
5150;Viaduc des Arts- équipement ludiques;Aménagement de l'avenue Daumesnil, le long du Viaduc des Arts;2016;Cadre de vie;Direction de l’Attractivité et de l’Emploi;;135, Avenue Daumesnil;75012;2.42284;48.83611;non;28;ABANDONNÉ;2018-12;;;;;2502;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002527;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2502&portlet_id=158;Direction de la Voirie et des Déplacements;800000;Budget participatif d’arrondissement;135 Avenue Daumesnil;75012;Non;FIN;2017-04;2018-05;2019-01;2019-02;2021-08;;"{""coordinates"": [2.422839999969291, 48.836110000427695], ""type"": ""Point""}";48.836110000427695, 2.422839999969291
5175;Bibliothèque François Villon;#CoupsDeCulture;2017;Culture et patrimoine;Direction des Affaires Culturelles;Régie;81, Boulevard de la Villette;75010;2.37079;48.87721;oui;52;FIN;2019-01;2019-12;2020-01;2022-01;2022-01;3800;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002792;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3800&portlet_id=158;Direction des Affaires Culturelles;4000000;Budget participatif parisien;Place de l' Hôtel de Ville - Esplanade de la Libération;75004;Oui;FIN;2017-11;2018-01;2018-03;2018-09;2022-01;;"{""coordinates"": [2.3707899994739, 48.87720999966704], ""type"": ""Point""}";48.87720999966704, 2.3707899994739
5186;De nouveaux espaces ludiques pour les parcs du 19e / Réaménager les aires de jeux Fressart et Crimée des Buttes Chaumont;De nouveaux espaces ludiques pour les parcs du 19e;2017;Cadre de vie;Direction des Espaces Verts et de l’Environnement;Régie;1, Rue Botzaris;75019;2.3811;48.87691;oui;195;FIN;2019-01;2019-02;2020-04;2020-09;2020-09;3827;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002782;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3827&portlet_id=158;Direction des Espaces Verts et de l’Environnement;383000;Budget participatif d’arrondissement;5-7 Place Armand Carrel;75019;Oui;FIN;2017-11;2018-04;2018-05;2018-11;2020-09;;"{""coordinates"": [2.3810999997843947, 48.87690999963881], ""type"": ""Point""}";48.87690999963881, 2.3810999997843947
5206;Rénovation les toilettes de l'Ecole élémentaire Glaciere;Rénover les toilettes : propreté et confort;2018;Education et jeunesse;Direction des Affaires Scolaires;;100, Rue de la Glacière;75013;2.34316;48.82925;oui;32;FIN;2019-01;;;2019-09;2019-09;6319;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002075;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6319&portlet_id=158;Direction des Affaires Scolaires;240000;Budget participatif d’arrondissement;2 place des 44 enfants d'Izieu;75013;Oui;FIN;2019-01;2019-04;2019-04;2019-05;2020-12;;"{""coordinates"": [2.3431600002056503, 48.82925000007442], ""type"": ""Point""}";48.82925000007442, 2.3431600002056503
5211;Une ville plus propre et plus équipée / Achat de petits matériels de propreté  (pour la DPE);Plus d'efficacité pour la propreté;2018;Propreté;;;Esplanade de la Libération;75004;2.35188;48.85653;non;117;FIN;2019-02;;2019-12;;2019-12;6431;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002081;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6431&portlet_id=158;Direction de la Propreté et de l’Eau;1500000;Budget participatif parisien;Place de l'Hôtel de ville;75004;Non;FIN;2018-10;;2019-04;2019-09;2020-10;;"{""coordinates"": [2.3518799997855653, 48.85652999995296], ""type"": ""Point""}";48.85652999995296, 2.3518799997855653
5257;Frigos solidaires;#TousRécup;2017;Solidarités;Direction de l’Attractivité et de l’Emploi;Subvention;3, Rue de Lobau;75004;2.3531;48.85629;non;117;FIN;2019-02;2019-06;;2023-07;2023-07;3788;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002726;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3788&portlet_id=158;Direction de l’Attractivité et de l’Emploi;3500000;Budget participatif parisien;Place de l' Hôtel de Ville - Esplanade de la Libération;75004;Non;LIVRAISON;2018-01;2018-07;2018-07;2018-09;;;"{""coordinates"": [2.35310000049691, 48.85629000037908], ""type"": ""Point""}";48.85629000037908, 2.35310000049691
5277;Cour Oasis - Ecole Levassor;#ÉcoleDeRêve;2017;Education et jeunesse;Direction des Affaires Scolaires;;3, Rue Émile Levassor;75013;2.36904;48.82089;oui;88;FIN;2019-03;;2019-07;2019-12;2019-12;5774;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002724;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=5774&portlet_id=158;Direction des Affaires Scolaires;3500000;Budget participatif parisien;Place de l' Hôtel de Ville - Esplanade de la Libération;75004;Oui;FIN;2017-12;2018-04;2019-07;2019-10;2023-08;;"{""coordinates"": [2.3690400002683534, 48.820890000439306], ""type"": ""Point""}";48.820890000439306, 2.3690400002683534
5282;Ecole élémentaire Torcy;#ÉcoleDeRêve;2017;Education et jeunesse;Direction des Affaires Scolaires;;5, Rue de Torcy;75018;2.36481;48.89109;oui;65;FIN;2019-03;;2019-08;2019-12;2019-12;5774;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002724;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=5774&portlet_id=158;Direction des Affaires Scolaires;3500000;Budget participatif parisien;Place de l' Hôtel de Ville - Esplanade de la Libération;75004;Oui;FIN;2017-12;2018-04;2019-07;2019-10;2023-08;;"{""coordinates"": [2.3648100004820267, 48.89108999978141], ""type"": ""Point""}";48.89108999978141, 2.3648100004820267
5287;Ecole polyvalente Pierre Foncin;#ÉcoleDeRêve;2017;Education et jeunesse;Direction des Affaires Scolaires;;4, Rue Pierre Foncin;75020;2.40938;48.87135;oui;55;FIN;2019-03;;2019-08;2019-12;2019-12;5774;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002724;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=5774&portlet_id=158;Direction des Affaires Scolaires;3500000;Budget participatif parisien;Place de l' Hôtel de Ville - Esplanade de la Libération;75004;Oui;FIN;2017-12;2018-04;2019-07;2019-10;2023-08;;"{""coordinates"": [2.409379999523206, 48.871350000206384], ""type"": ""Point""}";48.871350000206384, 2.409379999523206
