Identifiant de l'opération;Titre de l'opération;Titre du projet lauréat;Edition;Thématique;Direction pilote de l'opération;Type de financement de l'opération;Adresse de l'opération;Arrondissement de l'opération;Longitude;Latitude;Opération en Quartier Populaire;Quartier de l'opération;Avancement de l'opération;Date de début des études de l'opération;Date de lancement des procédures de l'opération;Date de lancement des travaux de l'opération;Date prévisonnelle de livraison de l'opération;Date d'ouverture de l'opération au public;Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet;geo_shape;geo_point_2d
4336;Jardin partagé 20eme - square Télégraphe;Cultiver en ville;2015;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;56 rue du Télégraphe;75020;2.4001;48.8509;non;102;ABANDONNÉ;2018-08;2018-11;2026-01;2026-06;;1970;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1970&portlet_id=158;Direction des Espaces Verts et de l’Environnement;2300000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;LIVRAISON;2016-03;2016-06;2016-09;2016-12;;;"{""coordinates"": [2.4001000006464044, 48.85089999978039], ""type"": ""Point""}";48.85089999978039, 2.4001000006464044
4344;#SousLesPavésDesFleurs / végétaliser les clôtures parisiennes - 75020 - Ecole Le Vau;#SousLesPavésDesFleurs;2017;Environnement;Direction des Espaces Verts et de l’Environnement;Régie;20, Rue le Vau;75020;2.41121;48.86754;oui;55;FIN;2018-08;;;;2018-10;3795;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002785;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3795&portlet_id=158;Direction des Espaces Verts et de l’Environnement;3500000;Budget participatif parisien;Place de l' Hôtel de Ville - Esplanade de la Libération;75004;Non;LIVRAISON;2017-11;2018-03;2018-06;2018-10;;;"{""coordinates"": [2.4112099997337992, 48.86754000041668], ""type"": ""Point""}";48.86754000041668, 2.4112099997337992
4346;Tracé Foot américain - CS Suzanne Lenglen;Plus de sport dans le 15e;2017;Sport;Direction de la Jeunesse et des Sports;;2, rue Louis Armand;75015;2.2766;48.8331;non;131;FIN;2018-01;2018-05;2018-07;2018-08;2018-08;3447;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002749;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3447&portlet_id=158;Direction de la Jeunesse et des Sports;175000;Budget participatif d’arrondissement;31 Rue Peclet;75015;Non;FIN;2018-01;2018-05;2018-07;2018-08;2018-12;;"{""coordinates"": [2.276600000239452, 48.83309999981347], ""type"": ""Point""}";48.83309999981347, 2.276600000239452
4348;Sanitaires école maternelle PALESTINE;Des sanitaires neufs pour toutes nos écoles;2017;Education et jeunesse;Direction des Affaires Scolaires;;1 rue de Palestine;75019;2.3894;48.8764;non;195;FIN;2018-01;2018-06;2018-07;2018-08;2018-08;3760;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002592;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3760&portlet_id=158;Direction des Affaires Scolaires;700000;Budget participatif d’arrondissement;5 place Armand Carrel;75019;Non;FIN;2018-01;2018-06;2018-07;2018-08;2021-08;;"{""coordinates"": [2.38939999975077, 48.87640000039445], ""type"": ""Point""}";48.87640000039445, 2.38939999975077
4395;Un auvent pour les enfants de l'école Chernoviz;Un auvent pour les enfants de l'école Chernoviz;2018;Education et jeunesse;Direction des Affaires Scolaires;;8 rue Chernoviz;75016;2.2819;48.8574;non;83;FIN;2019-01;;;2019-09;2019-09;6214;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=000503;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6214&portlet_id=158;Direction des Affaires Scolaires;250000;Budget participatif d’arrondissement;8 rue Chernoviz;75016;Non;FIN;2019-01;;;2019-09;2019-09;;"{""coordinates"": [2.2819000003153636, 48.85739999986724], ""type"": ""Point""}";48.85739999986724, 2.2819000003153636
4403;Restaurer les peintures murales de St-Pierre-du-Gros-Caillou;Restaurer les peintures murales de St-Pierre-du-Gros-Caillou;2018;Culture et patrimoine;Direction des Affaires Culturelles;;92 rue Saint-Dominique;75007;2.3053;48.8593;non;60;FIN;2019-06;2019-09;2021-01;2021-08;2021-08;6389;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=000634;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6389&portlet_id=158;Direction des Affaires Culturelles;350000;Budget participatif d’arrondissement;92 rue Saint-Dominique;75007;Non;FIN;2019-06;2019-09;2021-01;2021-08;2021-08;;"{""coordinates"": [2.305300000155626, 48.859299999958374], ""type"": ""Point""}";48.859299999958374, 2.305300000155626
4413;Un podium pour les écoles du quartier;Un podium pour les écoles du quartier;2018;Education et jeunesse;Direction des Affaires Scolaires;;10 avenue de la Motte-Picquet;75007;2.3091;48.8569;non;60;FIN;2019-03;;;2020-07;2020-07;6390;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=000820;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6390&portlet_id=158;Direction des Affaires Scolaires;10000;Budget participatif d’arrondissement;10 avenue de la Motte-Picquet;75007;Non;FIN;2019-03;;;2020-07;2020-07;;"{""coordinates"": [2.3090999995117674, 48.85690000021931], ""type"": ""Point""}";48.85690000021931, 2.3090999995117674
4444;Un lieu de spectacle pour les écoles;Un lieu de spectacle pour les écoles;2018;Culture et patrimoine;Direction des Affaires Culturelles;Régie;56, Rue des Cendriers;75020;2.3886718;48.8659769;oui;18;PROCEDURES;2019-02;2019-03;2027-01;2029-01;;6191;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=001290;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6191&portlet_id=158;Direction des Affaires Culturelles;1450000;Budget participatif d’arrondissement;56 rue des Cendriers;75020;Oui;PROCEDURES;2019-02;2019-03;2027-01;2029-01;;;"{""coordinates"": [2.388671800430197, 48.86597689972767], ""type"": ""Point""}";48.86597689972767, 2.388671800430197
4447;Restauration des murs de l'ancienne ligne d'Auteuil;Restauration des murs de l'ancienne ligne d'Auteuil;2018;Cadre de vie;Direction des Espaces Verts et de l’Environnement;Régie;boulevard de Beauséjour;75016;2.2686;48.8569;non;83;FIN;2018-10;2019-02;2019-04;2019-07;2019-09;6210;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=001346;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6210&portlet_id=158;Direction des Espaces Verts et de l’Environnement;170000;Budget participatif d’arrondissement;boulevard de Beauséjour;75016;Non;FIN;2018-10;2019-02;2019-04;2019-07;2019-09;;"{""coordinates"": [2.268599999773303, 48.85689999958776], ""type"": ""Point""}";48.85689999958776, 2.268599999773303
4449;Rénover les trottoirs rues Saint-Maur, Oberkampf et Timbaud;Rénover les trottoirs rues Saint-Maur, Oberkampf et Timbaud;2018;Cadre de vie;Direction de la Voirie et des Déplacements;;90 rue Jean-Pierre Timbaud;75011;2.3772;48.8676;oui;29;FIN;2019-06;;2021-03;2022-10;2022-10;6352;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=001398;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6352&portlet_id=158;Direction de la Voirie et des Déplacements;1100000;Budget participatif d’arrondissement;90 rue Jean-Pierre Timbaud;75011;Oui;FIN;2019-06;;2021-03;2022-10;2022-10;;"{""coordinates"": [2.377199999340061, 48.86760000027657], ""type"": ""Point""}";48.86760000027657, 2.377199999340061
